id,nombre
44,Villa Maria Del Triunfo
43,Villa El Salvador
42,Surquillo
41,Santiago De Surco
40,Santa Rosa
39,Santa Maria Del Mar
38,Santa Anita
37,San Miguel
36,San Martin De Porres
35,San Luis
34,San Juan De Miraflores
33,San Juan De Lurigancho
32,San Isidro
31,San Borja
30,San Bartolo
29,Rimac
28,Punta Negra
27,Punta Hermosa
26,Puente Piedra
25,Pueblo Libre
24,Pucusana
23,Pachacamac
22,Miraflores
21,Magdalena
20,Lurin
19,Lurigancho
18,Los Olivos
17,Lince
16,La Victoria
15,La Molina
14,Jesus Maria
13,Independencia
12,El Agustino
11,Comas
10,Cieneguilla
9,Chorrillos
8,Chaclacayo
7,Cercado
6,Carabayllo
5,Breña
4,Barranco
3,Ate
2,Ancon
1,NS
