id,nombre,modelo,version
709,VOLKSWAGEN,VOYAGE,
708,VOLVO,XC90,nan
707,VOLVO,XC60,nan
706,VOLVO,VM,nan
705,VOLVO,V60,nan
704,VOLVO,V40,nan
703,VOLVO,S80,nan
702,VOLVO,S60,nan
701,VOLVO,S40,nan
700,VOLVO,960,nan
699,VOLVO,940,nan
698,VOLVO,850,nan
697,VOLKSWAGEN,WORKER,nan
696,VOLKSWAGEN,VENTO,nan
695,VOLKSWAGEN,VARIANT,nan
694,VOLKSWAGEN,VANAGON,nan
693,VOLKSWAGEN,TRANSPORTER,nan
692,VOLKSWAGEN,TOUAREG,nan
691,VOLKSWAGEN,TIGUAN,nan
690,VOLKSWAGEN,SAPACE FOX,nan
689,VOLKSWAGEN,SCIROCCO,nan
688,VOLKSWAGEN,RABBITT,nan
687,VOLKSWAGEN,QUANTUM,nan
686,VOLKSWAGEN,Polo Sedan,nan
685,VOLKSWAGEN,POLO,nan
684,VOLKSWAGEN,PASSAT CC,nan
683,VOLKSWAGEN,PASSAT,nan
682,VOLKSWAGEN,PANEL,nan
681,VOLKSWAGEN,NEW BEETLE,nan
680,VOLKSWAGEN,MULTIVAN,nan
679,VOLKSWAGEN,KOMBI,nan
678,VOLKSWAGEN,JETTA,nan
677,VOLKSWAGEN,GTI,nan
676,VOLKSWAGEN,GOLF VARIANT,nan
675,VOLKSWAGEN,GOLF GTI,nan
674,VOLKSWAGEN,GOLF,nan
673,VOLKSWAGEN,GOL STATION,nan
672,VOLKSWAGEN,Gol Crossover,nan
671,VOLKSWAGEN,GOL,nan
670,VOLKSWAGEN,FOX,nan
669,VOLKSWAGEN,ESCARABAJO CABRIOLET,nan
668,VOLKSWAGEN,ESCARABAJO,nan
667,VOLKSWAGEN,DERBY,nan
666,VOLKSWAGEN,CROSSFOX,nan
665,VOLKSWAGEN,CC,nan
664,VOLKSWAGEN,CABRIOLET,nan
663,VOLKSWAGEN,BORA,nan
662,VOLKSWAGEN,BEETLE,nan
661,VOLKSWAGEN,AMAZON,nan
660,VOLKSWAGEN,AMAROK,nan
659,VOLKSWAGEN,17.210 OD,nan
658,VOLKSWAGEN,1600,nan
657,VOLKSWAGEN,1200,nan
656,TOYOTA,ZELAS,nan
655,TOYOTA,YARIS,nan
654,TOYOTA,WISH,nan
653,TOYOTA,VITZ,nan
652,TOYOTA,URBAN CRUISER,nan
651,TOYOTA,TUNDRA,nan
650,TOYOTA,TOWN-ACE,nan
649,TOYOTA,TERCEL,nan
648,TOYOTA,TACOMA,nan
647,TOYOTA,SUCCEED,nan
646,TOYOTA,STOUT,nan
645,TOYOTA,STARLET,nan
644,TOYOTA,SPRINTER CARIB,nan
643,TOYOTA,SPRINTER,nan
642,TOYOTA,SIENNA,nan
641,TOYOTA,SEQUOIA,nan
640,TOYOTA,RAV4,nan
639,TOYOTA,PROBOX,nan
638,TOYOTA,PRIUS,nan
637,TOYOTA,PREMIO,nan
636,TOYOTA,PLATZ,nan
635,TOYOTA,LEVIN,nan
634,TOYOTA,LAND CRUISER,nan
633,TOYOTA,HILUX,nan
632,TOYOTA,HIGHLANDER,nan
631,TOYOTA,HIACE,nan
630,TOYOTA,FORTUNER,nan
629,TOYOTA,FJ CRUISER,nan
628,TOYOTA,FIELDER,nan
627,TOYOTA,ETIOS,nan
626,TOYOTA,DUET,nan
625,TOYOTA,CROWN,nan
624,TOYOTA,CRESSIDA,nan
623,TOYOTA,CORSA,nan
622,TOYOTA,CORONA,nan
621,TOYOTA,COROLLA,nan
620,TOYOTA,COASTER,nan
619,TOYOTA,CELICA,nan
618,TOYOTA,CARINA,nan
617,TOYOTA,CAMRY,nan
616,TOYOTA,CALDINA,nan
615,TOYOTA,AVENSIS,nan
614,TOYOTA,AVALAN,nan
613,TOYOTA,AVALON,nan
612,TOYOTA,AURIS,nan
611,TOYOTA,AGYA,nan
610,TOYOTA,AE-86,nan
609,TOYOTA,86,nan
608,TOYOTA,4RUNNER,nan
607,SUZUKI,XL7,nan
606,SUZUKI,WAGON R,nan
605,SUZUKI,VITARA,nan
604,SUZUKI,SX-4,nan
603,SUZUKI,SWIFT,nan
602,SUZUKI,SAMURAI,nan
601,SUZUKI,S-CROSS,nan
600,SUZUKI,NOMADE,nan
599,SUZUKI,MARUTI,nan
598,SUZUKI,KIZASHI,nan
597,SUZUKI,JIMNY,nan
596,SUZUKI,IGNIS,nan
595,SUZUKI,ERTIGA,nan
594,SUZUKI,CIAZ,nan
593,SUZUKI,CELERIO,nan
592,SUZUKI,CARRY,nan
591,SUZUKI,BALENO,nan
590,SUZUKI,APV,nan
589,SUZUKI,ALTO,nan
588,SUZUKI,AERIO,nan
587,SUBARU,XV,nan
586,SUBARU,WRX,nan
585,SUBARU,TRIBECA,nan
584,SUBARU,SAMBAR,nan
583,SUBARU,PLEO,nan
582,SUBARU,OUTBACK,nan
581,SUBARU,LEONE,nan
580,SUBARU,LEGACY,nan
579,SUBARU,IMPREZA GT,nan
578,SUBARU,IMPREZA,nan
577,SUBARU,GL,nan
576,SUBARU,FORESTER,nan
575,SUBARU,BRZ,nan
574,SUBARU,1300,nan
573,SSANGYONG,TIVOLI,nan
572,SSANGYONG,RODIUS,nan
571,SSANGYONG,REXTON,nan
570,SSANGYONG,KORANDO,nan
569,SSANGYONG,ACTYON,nan
568,SEAT,LEON,nan
567,SEAT,IBIZA,nan
566,RENAULT,SYMBOL,nan
565,RENAULT,STEPWAY,nan
564,RENAULT,SCENIC,nan
563,RENAULT,SANDERO,nan
562,RENAULT,OROCH,nan
561,RENAULT,MEGANE,nan
560,RENAULT,MASTER,nan
559,RENAULT,LOGAN,nan
558,RENAULT,LAGUNA,nan
557,RENAULT,KOLEOS,nan
556,RENAULT,KANGOO,nan
555,RENAULT,FUEGO,nan
554,RENAULT,FLUENCE,nan
553,RENAULT,DUSTER,nan
552,RENAULT,CLIO,nan
551,RENAULT,CAPTUR,nan
550,PORSCHE,PANAMERA TURBO,nan
549,PORSCHE,MACAN,nan
548,PORSCHE,CAYMAN-S,nan
547,PORSCHE,CAYENNE,nan
546,PORSCHE,BOXSTER,nan
545,PORSCHE,911,nan
544,PEUGEOT,TEPEE,nan
543,PEUGEOT,RCZ COUPE,nan
542,PEUGEOT,PARTNER,nan
541,PEUGEOT,EXPERT,nan
540,PEUGEOT,BOXER,nan
539,PEUGEOT,BIPPER,nan
538,PEUGEOT,3008,nan
537,PEUGEOT,607,nan
536,PEUGEOT,605,nan
535,PEUGEOT,508,nan
534,PEUGEOT,505,nan
533,PEUGEOT,407,nan
532,PEUGEOT,406,nan
531,PEUGEOT,405,nan
530,PEUGEOT,404,nan
529,PEUGEOT,308,nan
528,PEUGEOT,307,nan
527,PEUGEOT,306,nan
526,PEUGEOT,304,nan
525,PEUGEOT,301,nan
524,PEUGEOT,208,nan
523,PEUGEOT,207,nan
522,PEUGEOT,206,nan
521,PEUGEOT,205,nan
520,PEUGEOT,203,nan
519,PEUGEOT,201,nan
518,PEUGEOT,106,nan
517,NISSAN,X-TRAIL,nan
516,NISSAN,X-TERRA,nan
515,NISSAN,WINGROAD,nan
514,NISSAN,VERSA,nan
513,NISSAN,URVAN,nan
512,NISSAN,TIIDA,nan
511,NISSAN,TERRANO,nan
510,NISSAN,TEANA,nan
509,NISSAN,SUNNY,nan
508,NISSAN,SKYLINE,nan
507,NISSAN,SILVIA,nan
506,NISSAN,SENTRA V16,nan
505,NISSAN,SENTRA 2.0,nan
504,NISSAN,SENTRA 1.8,nan
503,NISSAN,QASHQAI,nan
502,NISSAN,PULSAR,nan
501,NISSAN,PRIMERA,nan
500,NISSAN,PRESEA,nan
499,NISSAN,PATROL,nan
498,NISSAN,PATHFINDER,nan
497,NISSAN,NP 300,nan
496,NISSAN,NOTE,nan
495,NISSAN,NAVARRA,nan
494,NISSAN,MURANO,nan
493,NISSAN,MICRA,nan
492,NISSAN,MAXIMA,nan
491,NISSAN,MARCH,nan
490,NISSAN,LUCINO,nan
489,NISSAN,LAUREL,nan
488,NISSAN,LARGO,nan
487,NISSAN,LAFESTA,nan
486,NISSAN,JUKE,nan
485,NISSAN,HARDBODY,nan
484,NISSAN,GT-R,nan
483,NISSAN,FRONTIER,nan
482,NISSAN,FIERA,nan
481,NISSAN,BLUEBIRD,nan
480,NISSAN,ALTIMA,nan
479,NISSAN,ALMERA,nan
478,NISSAN,AD,nan
477,NISSAN,370Z,nan
476,NISSAN,350Z,nan
475,NISSAN,240-SX,nan
474,NISSAN,720,nan
473,MITSUBISHI,PAJERO,nan
472,MITSUBISHI,OUTLANDER,nan
471,MITSUBISHI,NATIVA,nan
470,MITSUBISHI,MONTERO SPORT,nan
469,MITSUBISHI,MONTERO,nan
468,MITSUBISHI,MIRAGE,nan
467,MITSUBISHI,LIBERO,nan
466,MITSUBISHI,LANCER,nan
465,MITSUBISHI,L300,nan
464,MITSUBISHI,L200,nan
463,MITSUBISHI,GALANT,nan
462,MITSUBISHI,FTO,nan
461,MITSUBISHI,ECLIPSE,nan
460,MITSUBISHI,DION,nan
459,MITSUBISHI,ASX,nan
458,MINI,MORRIS,nan
457,MINI,COOPER,nan
456,MINI,CLN,nan
455,MINI,CABRIO,nan
454,MG,GT,nan
453,MG,5,nan
452,MG,350,nan
451,MG,3,nan
450,MERCEDES BENZ,SPRINTER,nan
449,MERCEDES BENZ,SLK 350,nan
448,MERCEDES BENZ,SLK 300,nan
447,MERCEDES BENZ,SLK 230 KOMPRESSOR,nan
446,MERCEDES BENZ,SLK 200K,nan
445,MERCEDES BENZ,SL-500,nan
444,MERCEDES BENZ,SL-300,nan
443,MERCEDES BENZ,SEC380,nan
442,MERCEDES BENZ,S500,nan
441,MERCEDES BENZ,S430,nan
440,MERCEDES BENZ,S320,nan
439,MERCEDES BENZ,S280,nan
438,MERCEDES BENZ,ML63 AMG,nan
437,MERCEDES BENZ,ML 500,nan
436,MERCEDES BENZ,ML 350,nan
435,MERCEDES BENZ,ML 320,nan
434,MERCEDES BENZ,ML 300,nan
433,MERCEDES BENZ,GLK 350,nan
432,MERCEDES BENZ,GLK 300,nan
431,MERCEDES BENZ,GLK 280,nan
430,MERCEDES BENZ,GLE-400,nan
429,MERCEDES BENZ,GLE-63,nan
428,MERCEDES BENZ,GLC-250,nan
427,MERCEDES BENZ,GLA-250,nan
426,MERCEDES BENZ,GLA-200,nan
425,MERCEDES BENZ,GLA-45,nan
424,MERCEDES BENZ,GL-550,nan
423,MERCEDES BENZ,GL-500,nan
422,MERCEDES BENZ,GL-450,nan
421,MERCEDES BENZ,GL-400,nan
420,MERCEDES BENZ,G-500,nan
419,MERCEDES BENZ,E-500,nan
418,MERCEDES BENZ,E-350,nan
417,MERCEDES BENZ,E-320,nan
416,MERCEDES BENZ,E-300,nan
415,MERCEDES BENZ,E-280,nan
414,MERCEDES BENZ,E-250,nan
413,MERCEDES BENZ,E-240,nan
412,MERCEDES BENZ,E-200 KOMPRESSOR,nan
411,MERCEDES BENZ,CLS55AMG,nan
410,MERCEDES BENZ,CLS-350,nan
409,MERCEDES BENZ,CLS 63 AMG,nan
408,MERCEDES BENZ,CLK-320,nan
407,MERCEDES BENZ,CLK-230 KOMPRESSOR,nan
406,MERCEDES BENZ,CLK-200,nan
405,MERCEDES BENZ,CLC 200,nan
404,MERCEDES BENZ,CLA 45,nan
403,MERCEDES BENZ,CLA 250,nan
402,MERCEDES BENZ,CLA 200,nan
