id,negocio,gestion,peso_tipo_gestion,id_gestion,peso_id_gestion,resultado,peso_resultado,subresultado,peso_subresultado,estado
2226,3,10,4,1,4.07,1,4.07.02,91,4.07.02.07,0
2225,3,10,4,1,4.07,1,4.07.02,3,4.07.02.08,0
2224,3,10,4,1,4.07,1,4.07.02,2,4.07.02.09,0
2223,3,10,4,1,4.07,1,4.07.02,4,4.07.02.10,0
2222,2,10,4,2,4.06,9,4.06.13,105,4.06.13.09,0
2221,2,10,4,2,4.06,9,4.06.13,102,4.06.13.10,0
2220,2,10,4,2,4.06,7,4.06.15,34,4.06.15.07,0
2219,2,10,4,2,4.06,21,4.06.15,101,4.06.15.08,0
2218,2,10,4,2,4.06,21,4.06.15,100,4.06.15.08,0
2217,2,10,4,2,4.06,7,4.06.15,32,4.06.15.09,0
2216,2,10,4,2,4.06,7,4.06.15,28,4.06.15.09,0
2215,2,10,4,2,4.06,7,4.06.15,27,4.06.15.09,0
2214,2,10,4,2,4.06,7,4.06.15,26,4.06.15.10,0
2213,2,10,4,2,4.06,7,4.06.15,24,4.06.15.11,0
2212,2,10,4,2,4.06,7,4.06.15,22,4.06.15.14,0
2211,2,10,4,2,4.06,21,4.06.15,99,4.06.15.15,0
2210,2,10,4,2,4.06,20,4.06.15,21,4.06.15.15,0
2209,2,10,4,2,4.06,6,4.06.16,20,4.06.16.04,0
2208,2,10,4,2,4.06,6,4.06.16,17,4.06.16.07,0
2207,2,10,4,2,4.06,6,4.06.16,15,4.06.16.08,0
2206,2,10,4,2,4.06,6,4.06.16,14,4.06.16.09,0
2205,2,10,4,2,4.06,6,4.06.16,12,4.06.16.10,0
2204,2,10,4,2,4.06,6,4.06.16,11,4.06.16.11,0
2203,2,10,4,2,4.06,6,4.06.16,10,4.06.16.12,0
2202,2,10,4,2,4.06,6,4.06.16,97,4.06.16.13,0
2201,2,10,4,2,4.06,6,4.06.16,96,4.06.16.14,0
2200,2,10,4,2,4.06,5,4.06.17,9,4.06.17.02,0
2199,2,10,4,2,4.06,5,4.06.17,8,4.06.17.03,0
2198,2,10,4,2,4.06,5,4.06.17,7,4.06.17.03,0
2197,2,10,4,1,4.07,2,4.07.01,95,4.07.01.01,0
2196,2,10,4,1,4.07,2,4.07.01,94,4.07.01.02,0
2195,2,10,4,1,4.07,2,4.07.01,93,4.07.01.03,0
2194,2,10,4,1,4.07,2,4.07.01,92,4.07.01.04,0
2193,2,10,4,1,4.07,2,4.07.01,91,4.07.01.07,0
2192,2,10,4,1,4.07,2,4.07.01,3,4.07.01.08,0
2191,2,10,4,1,4.07,2,4.07.01,2,4.07.01.09,0
2190,2,10,4,1,4.07,2,4.07.01,4,4.07.01.10,0
2189,2,10,4,1,4.07,1,4.07.02,95,4.07.02.01,0
2188,2,10,4,1,4.07,1,4.07.02,94,4.07.02.02,0
2187,2,10,4,1,4.07,1,4.07.02,93,4.07.02.03,0
2186,2,10,4,1,4.07,1,4.07.02,92,4.07.02.04,0
2185,2,10,4,1,4.07,1,4.07.02,91,4.07.02.07,0
2184,2,10,4,1,4.07,1,4.07.02,3,4.07.02.08,0
2183,2,10,4,1,4.07,1,4.07.02,2,4.07.02.09,0
2182,2,10,4,1,4.07,1,4.07.02,4,4.07.02.10,0
1464,1,14,0,8,0.01,18,0.01.01,90,0.01.01.01,0
1463,1,14,0,8,0.01,18,0.01.01,89,0.01.01.01,0
1462,1,13,1,7,1.03,17,1.03.01,88,1.03.01.03,0
1461,1,13,1,7,1.03,17,1.03.01,87,1.03.01.04,0
1460,1,13,1,7,1.03,17,1.03.01,86,1.03.01.04,0
1459,1,13,1,7,1.03,17,1.03.01,85,1.03.01.04,0
1458,1,13,1,7,1.03,17,1.03.01,84,1.03.01.05,0
1457,1,13,1,7,1.03,16,1.03.02,83,1.03.02.03,0
1456,1,13,1,7,1.03,16,1.03.02,82,1.03.02.03,0
1455,1,13,1,7,1.03,16,1.03.02,81,1.03.02.04,0
1454,1,13,1,7,1.03,16,1.03.02,80,1.03.02.04,0
1453,1,11,3,6,3.05,15,3.05.02,79,3.05.02.17,0
1452,1,11,3,6,3.05,15,3.05.02,78,3.05.02.18,0
1451,1,11,3,6,3.05,14,3.05.03,77,3.05.03.24,0
1450,1,11,3,6,3.05,14,3.05.03,76,3.05.03.26,0
1449,1,10,4,2,4.06,19,4.06.08,75,4.06.08.10,0
1448,1,10,4,2,4.06,19,4.06.08,74,4.06.08.12,0
1447,1,10,4,2,4.06,19,4.06.08,73,4.06.08.12,0
1446,1,10,4,2,4.06,19,4.06.08,72,4.06.08.12,0
1445,1,10,4,2,4.06,19,4.06.08,71,4.06.08.12,0
