id,nombre
105,USA OTRAS TARJETAS
104,TITULAR CUENTA CON TARJETA
103,TITULAR CUENTA CON TARJETA
102,CONYUGE CUENTA CON TARJETA
101,NO QUIERE DAR FECHA DE PAGO
100,NO OFRECE PROGRAMACION DE PAGO
99,CLIENTE OCUPADO (VOLVER A LLAMAR)
98,CITA TELEFONICA
97,ESPERA DE APLICACION DE PAGO
96,RECORDATORIO DE PAGO
95,PAGO INCUMPLIDO
94,PAGO DE CONTENCION
93,PAGO DIFERIDO
92,PAGO EN DEBITO
91,PAGO CUOTA CONVENIO
90,DEUDA YA CANCELADA
89,A ORDEN DE PROVEEDOR
88,SIN DATOS NUEVOS
87,NUEVO TELEFONO
86,NUEVA DIRECCION Y TELEFONO
85,NUEVA DIRECCION
84,CORRECCION DE DATOS
83,DESACTIVAR TELEFONO
82,DESACTIVAR DIRECCION
81,ACTIVAR TELEFONO
80,ACTIVAR DIRECCION
79,SIN PAPELES PRESENTADOS
78,PRESENTO PAPELES
77,ACEPTA INVITACIÓN A FERIA
76,CONYUGE SOLICITA DETALLE
75,NO ES TITULAR DEL CREDITO
74,MAL SERVICIO
73,RECLAMOS COBRANZAS
72,RECLAMO TECNICO 
71,RECLAMO COMERCIAL
70,ASEGURADORA
69,MISMA INSTITUCION
68,ENTREGA DE CONTRATO
67,ESPERANDO RESPUESTA A RECLAMO
66,RECLAMO DE FACTURACION /DESPACHO
65,ESPERA RESPUESTA RECLAMO
64,INDECOPI / SBS
63,NO RECONOCE DEUDA
62,NO ASUME MONTO DEUDA
61,NO LLEGO ESTADO DE CUENTA
60,SOLO COORDINARA EMPRESA / PROVEEDOR
59,NEGOCIO QUEBRADO / EN LIQUIDACION / INOPERATIVO
58,LABORA EN MINA / ZONA RURAL
57,ENFERMEDAD / ACCIDENTE (TITULAR / FAMILIAR)
56,CREDITO PARA TERCEROS
55,EFECTUA PAGO OTRO PRODUCTO / SOBREENDEUDADO
54,ESTACIONALIDAD / COMERCIANTE / CAMPAÑA
53,NO LABORA / TRABAJO EVENTUAL / BAJOS INGRESOS
52,EMPLEADOR DEMORA HABERES
51,NO FIGURA IMPORTE BANCO / AGENTE
50,DENEGADA DE CAMBIO EN AGENCIA / OFICINA
49,SOLICITUD DE CAMBIO EN AGENCIA / OFICINA
48,EN TRAMITE DE CAMBIO EN AGENCIA / OFICINA
47,CONFORME CON FECHA PAGO ACTUAL
46,ANULO TARJETA DE CREDITO
45,TUVO PROBLEMAS SERVICIO / CONSUMO / COBRO
44,COBRO DEUDA INEXISTENTE
43,ANULARA TARJETA POR FALTA DE USO
42,PRODUCTO / SERVICIO / BENEFICIO
41,SERVICIO COSTOSO
40,DESCONOCE MARCA O TRAYECTORIA DE PROVEEDOR
39,MALA EXPERIENCIA
38,NO DESEA PROMOCION / SER LLAMADO
37,ENCUESTA DESFAVORABLE
36,ENCUESTA REGULAR
35,ENCUESTA SATISFACTORIA
34,DESAFILIACION DEBITO / SEGURO / TARJETA
33,FORMAS DE PAGO (WEB / AGENTE / CCI)
32,FACTURA ORIGINAL
31,CARTA DE VIGENCIA DE OBLIGACIONES
30,CARTA DE NO ADEUDA
29,RECTIFICACION CALIFICACION SBS
28,ESTADO DE CUENTA
27,COPIA DE FACTURA
26,PAGO POR (POS)
25,DETALLE DE DEUDA
24,DETALLE TECNICO Y COMERCIAL
23,RECOJO DE CHEQUES
22,AFILIACION DEBITO / SEGURO / TARJETA
21,INTERESADO / SE AGENDA LLAMADA
20,SE APERSONARA AGENCIA / NEGOCIAR
19,PENDIENTE ESTADO DE CUENTA
18,RECIBIO ESTADO DE CUENTA
17,INTERESADO CONVENIO / REFIN / REPRO
16,INTERESADO EN CONDONACION
15,ESPERA RESPUESTA A PROPUESTA DE PAGO 
14,EN TRAMITE CONVENIO / REFIN / REPRO
13,EN TRAMITE DESCUENTO / CONDONACION
12,CONCRETADO CONVENIO / REFIN / REPRO
11,PAGA FUERA DE PLAZO
10,ESPERA FIRMA DE DOCUMENTOS (CONVENIO)
9,EN ESPERA FIRMA CLIENTE
8,PENDIENTE CONFIRMACION PROVEEDOR
7,PENDIENTE AUTORIZACION PROVEEDOR
4,PAGO TOTAL
3,PAGO PARCIAL
2,PAGO CUOTA INICIAL
